iter	Passed	Remaining
0	153	153275
1	163	81432
2	166	55423
3	170	42363
4	173	34618
5	177	29372
6	179	25481
7	181	22552
8	183	20212
9	185	18338
10	187	16891
11	189	15613
12	191	14502
13	194	13712
14	197	12965
15	198	12223
16	200	11583
17	201	10988
18	202	10463
19	203	9991
20	206	9629
21	207	9241
22	208	8873
23	210	8553
24	211	8243
25	212	7961
26	213	7695
27	215	7465
28	216	7237
29	219	7098
30	221	6912
31	222	6720
32	223	6541
33	224	6374
34	225	6217
35	226	6070
36	227	5925
37	228	5791
38	229	5661
39	231	5547
40	232	5444
41	233	5331
42	234	5225
43	235	5124
44	236	5025
45	237	4934
46	239	4846
47	240	4761
48	241	4682
49	242	4605
50	243	4532
51	246	4487
52	247	4428
53	249	4375
54	251	4314
55	252	4257
56	253	4198
57	254	4140
58	256	4083
59	257	4031
60	259	3988
61	261	3954
62	262	3903
63	263	3853
64	264	3805
65	265	3759
66	266	3716
67	267	3665
68	268	3622
69	269	3581
70	270	3543
71	271	3504
72	273	3478
73	275	3445
74	276	3411
75	277	3376
76	278	3342
77	279	3307
78	280	3274
79	282	3243
80	283	3212
81	284	3181
82	285	3151
83	286	3128
84	288	3109
85	290	3083
86	290	3051
87	291	3026
88	293	2999
89	294	2973
90	295	2951
91	296	2928
92	297	2905
93	299	2884
94	300	2862
95	302	2845
96	304	2836
97	305	2815
98	307	2795
99	308	2773
100	309	2752
101	309	2728
102	311	2708
103	312	2691
104	313	2673
105	314	2656
106	318	2656
107	319	2638
108	320	2621
109	321	2604
110	322	2586
111	323	2568
112	325	2551
113	326	2534
114	327	2519
115	328	2503
116	346	2615
117	349	2615
118	350	2597
119	352	2582
120	353	2566
121	354	2549
122	354	2530
123	356	2515
124	357	2500
125	358	2486
126	360	2476
127	361	2462
128	363	2454
129	365	2443
130	366	2429
131	367	2415
132	368	2401
133	369	2388
134	370	2375
135	371	2362
136	373	2350
137	374	2337
138	375	2327
139	378	2325
140	379	2314
141	381	2302
142	382	2290
143	383	2278
144	384	2267
145	385	2256
146	387	2245
147	388	2234
148	389	2226
149	391	2220
150	393	2212
151	394	2202
152	396	2192
153	397	2181
154	398	2171
155	399	2161
156	400	2151
157	401	2142
158	403	2135
159	405	2126
160	407	2123
161	408	2114
162	409	2104
163	411	2095
164	412	2087
165	413	2079
166	415	2070
167	416	2062
168	417	2054
169	419	2046
170	420	2039
171	421	2030
172	424	2030
173	426	2022
174	427	2015
175	428	2007
176	430	2000
177	432	1995
178	433	1987
179	435	1982
180	435	1972
181	437	1965
182	438	1957
183	439	1950
184	440	1941
185	441	1933
186	443	1926
187	444	1919
188	446	1913
189	447	1909
190	449	1905
191	450	1897
192	452	1890
193	453	1884
194	454	1877
195	455	1869
196	456	1862
197	457	1854
198	458	1847
199	459	1839
200	461	1833
201	462	1828
202	463	1821
203	464	1814
204	466	1808
205	467	1802
206	468	1795
207	469	1789
208	470	1782
209	471	1775
210	472	1768
211	474	1761
212	475	1755
213	476	1748
214	477	1742
215	478	1735
216	478	1728
217	479	1721
218	480	1714
219	481	1707
220	482	1700
221	483	1693
222	484	1686
223	485	1680
224	485	1673
225	486	1666
226	487	1660
227	488	1653
228	489	1647
229	490	1641
230	491	1635
231	492	1628
232	492	1622
233	493	1616
234	494	1610
235	495	1604
236	496	1598
237	497	1593
238	498	1587
239	499	1581
240	500	1576
241	501	1570
242	502	1565
243	503	1560
244	504	1555
245	505	1549
246	506	1545
247	507	1540
248	509	1535
249	510	1530
250	511	1525
251	511	1519
252	512	1513
253	513	1508
254	514	1503
255	515	1498
256	516	1492
257	517	1487
258	518	1482
259	519	1477
260	520	1472
261	520	1467
262	521	1462
263	522	1457
264	523	1452
265	525	1448
266	525	1444
267	526	1439
268	527	1434
269	528	1430
270	529	1425
271	530	1421
272	531	1416
273	532	1411
274	533	1406
275	534	1402
276	535	1398
277	536	1393
278	537	1389
279	538	1385
280	539	1381
281	540	1377
282	542	1373
283	543	1369
284	544	1365
285	545	1360
286	545	1356
287	546	1352
288	547	1348
289	548	1343
290	549	1339
291	550	1335
292	551	1331
293	553	1327
294	554	1324
295	555	1320
296	556	1316
297	557	1312
298	558	1308
299	559	1304
300	560	1302
301	562	1298
302	562	1294
303	563	1291
304	564	1287
305	566	1283
306	567	1280
307	567	1275
308	569	1273
309	570	1269
310	571	1265
311	572	1262
312	573	1258
313	574	1255
314	575	1251
315	576	1248
316	577	1244
317	579	1241
318	580	1239
319	581	1235
320	582	1232
321	583	1228
322	584	1225
323	585	1221
324	586	1217
325	587	1214
326	588	1210
327	589	1206
328	589	1203
329	590	1199
330	591	1195
331	592	1192
332	593	1188
333	594	1185
334	596	1183
335	597	1180
336	598	1176
337	599	1173
338	599	1169
339	600	1166
340	601	1163
341	602	1159
342	603	1156
343	604	1152
344	605	1149
345	606	1146
346	607	1143
347	608	1139
348	609	1137
349	611	1134
350	612	1131
351	613	1128
352	614	1126
353	615	1122
354	616	1119
355	616	1116
356	617	1112
357	618	1109
358	619	1106
359	620	1102
360	621	1099
361	622	1096
362	623	1093
363	624	1090
364	625	1087
365	626	1084
366	627	1081
367	628	1078
368	629	1075
369	629	1072
370	630	1069
371	631	1066
372	632	1063
373	633	1060
374	634	1057
375	635	1054
376	636	1051
377	636	1048
378	637	1044
379	638	1042
380	640	1039
381	641	1037
382	642	1034
383	643	1031
384	644	1028
385	644	1025
386	645	1022
387	646	1019
388	647	1017
389	648	1014
390	649	1011
391	650	1008
392	651	1006
393	652	1003
394	652	1000
395	654	997
396	655	995
397	656	992
398	657	989
399	658	987
400	659	984
401	659	981
402	660	978
403	661	976
404	662	973
405	663	970
406	664	967
407	664	964
408	665	962
409	666	959
410	667	956
411	668	954
412	669	951
413	670	948
414	671	946
415	671	943
416	672	940
417	673	938
418	674	935
419	675	932
420	676	930
421	677	927
422	678	925
423	679	922
424	679	919
425	680	917
426	681	914
427	682	912
428	683	909
429	684	907
430	685	904
431	686	902
432	687	899
433	688	897
434	689	895
435	689	892
436	691	890
437	691	887
438	692	885
439	693	882
440	694	880
441	695	877
442	696	875
443	697	872
444	698	870
445	698	868
446	699	865
447	700	863
448	701	860
449	702	858
450	703	856
451	704	853
452	705	851
453	706	849
454	706	846
455	707	844
456	708	841
457	709	839
458	710	837
459	711	834
460	712	832
461	712	830
462	713	827
463	714	825
464	715	823
465	716	820
466	717	818
467	718	816
468	719	814
469	720	812
470	720	809
471	721	807
472	722	805
473	723	802
474	724	800
475	725	798
476	726	796
477	726	793
478	727	791
479	728	789
480	729	787
481	730	785
482	731	782
483	732	780
484	733	778
485	733	776
486	734	773
487	735	771
488	736	769
489	737	767
490	738	765
491	738	763
492	739	760
493	740	758
494	741	756
495	742	754
496	743	752
497	744	750
498	744	747
499	745	745
500	746	743
501	747	741
502	748	739
503	749	737
504	750	735
505	751	733
506	751	731
507	752	729
508	753	726
509	754	724
510	755	722
511	756	720
512	757	718
513	758	716
514	758	714
515	759	712
516	760	710
517	761	708
518	762	706
519	763	704
520	764	702
521	765	700
522	766	698
523	767	696
524	768	695
525	768	692
526	769	690
527	770	689
528	771	687
529	772	685
530	773	683
531	774	681
532	775	679
533	776	677
534	777	675
535	778	673
536	779	671
537	780	669
538	781	668
539	781	666
540	782	664
541	783	662
542	784	660
543	785	658
544	786	656
545	787	654
546	788	652
547	789	650
548	790	649
549	791	647
550	792	646
551	793	644
552	794	642
553	795	640
554	796	638
555	797	636
556	798	635
557	799	633
558	800	631
559	801	629
560	802	627
561	803	625
562	803	624
563	804	622
564	805	620
565	806	618
566	807	616
567	808	614
568	809	613
569	810	611
570	811	609
571	812	607
572	812	605
573	813	604
574	814	602
575	815	600
576	816	598
577	817	596
578	818	595
579	819	593
580	820	591
581	821	589
582	821	587
583	822	586
584	823	584
585	824	582
586	825	580
587	826	579
588	827	577
589	828	575
590	829	573
591	830	572
592	831	570
593	831	568
594	832	566
595	833	565
596	834	563
597	835	561
598	836	559
599	837	558
600	838	556
601	839	554
602	840	553
603	840	551
604	841	549
