iter	Passed	Remaining
0	143	142933
1	147	73726
2	153	51052
3	158	39403
4	161	32084
5	164	27261
6	166	23670
7	168	20941
8	170	18818
9	172	17088
10	174	15667
11	175	14467
12	177	13453
13	179	12619
14	180	11868
15	181	11182
16	183	10582
17	184	10046
18	185	9571
19	186	9139
20	187	8743
21	188	8381
22	189	8049
23	190	7742
24	191	7470
25	192	7223
26	193	6981
27	194	6766
28	195	6558
29	196	6360
30	197	6176
31	198	6005
32	199	5841
33	200	5688
34	201	5542
35	201	5404
36	202	5272
37	203	5149
38	204	5032
39	205	4921
40	206	4822
41	207	4726
42	208	4631
43	209	4545
44	209	4456
45	210	4372
46	211	4290
47	212	4213
48	213	4141
49	214	4070
50	215	4002
51	215	3936
52	216	3873
53	217	3811
54	218	3752
55	219	3695
56	220	3644
57	221	3596
58	222	3546
59	223	3498
60	224	3450
61	224	3403
62	225	3358
63	226	3316
64	227	3275
65	228	3233
66	229	3194
67	230	3160
68	231	3123
69	232	3087
70	233	3051
71	234	3017
72	235	2985
73	236	2956
74	237	2924
75	237	2893
76	238	2864
77	239	2836
78	240	2807
79	241	2778
80	242	2751
81	243	2724
82	243	2694
83	244	2667
84	245	2642
85	246	2618
86	247	2593
87	248	2571
88	249	2549
89	250	2529
90	251	2507
91	252	2487
92	252	2467
93	253	2446
94	254	2425
95	255	2406
96	256	2386
97	257	2369
98	258	2349
99	259	2331
100	259	2312
101	260	2294
102	261	2277
103	262	2260
104	263	2243
105	264	2227
106	265	2212
107	266	2198
108	267	2186
109	268	2171
110	269	2155
111	269	2140
112	270	2125
113	271	2111
114	272	2097
115	273	2083
116	274	2068
117	275	2057
118	276	2045
119	277	2032
120	278	2020
121	278	2006
122	279	1994
123	280	1983
124	281	1971
125	282	1959
126	283	1946
127	283	1934
128	284	1922
129	285	1910
130	286	1899
131	287	1888
132	288	1877
133	288	1866
134	289	1856
135	290	1846
136	291	1836
137	292	1825
138	293	1815
139	294	1806
140	295	1798
141	295	1786
142	296	1778
143	297	1769
144	298	1761
145	299	1753
146	300	1743
147	301	1737
148	302	1730
149	304	1723
150	305	1714
151	305	1706
152	306	1697
153	307	1689
154	308	1682
155	309	1676
156	310	1669
157	311	1661
158	312	1653
159	313	1645
160	313	1635
161	314	1627
162	315	1619
163	316	1612
164	317	1604
165	317	1597
166	318	1589
167	319	1582
168	320	1575
169	321	1568
170	322	1561
171	322	1554
172	324	1548
173	325	1542
174	325	1536
175	326	1530
176	327	1524
177	328	1517
178	329	1511
179	330	1505
180	331	1499
181	332	1494
182	333	1487
183	333	1481
184	334	1474
185	335	1468
186	336	1462
187	337	1457
